,name,link,affiliations,email,cited_by
165,Yenita Agus,https://scholar.google.com/citations?hl=en&user=CZH9Ga8AAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,319
166,Irfan Abubakar,https://scholar.google.com/citations?hl=en&user=Hryui1UAAAAJ,Fakultas Adab & Humaniora UIN Jakarta,Verified email at uinjkt.ac.id,316
167,Mohamad Avicenna,https://scholar.google.com/citations?hl=en&user=QTHo-ecAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,315
168,Siti Nurhasanah,https://scholar.google.com/citations?hl=en&user=PXxZMGQAAAAJ,Doktor Manajemen Pendidikan Islam,Verified email at uinjkt.ac.id,315
169,Victor Amrizal,https://scholar.google.com/citations?hl=en&user=RdL0e-QAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,314
170,Risatianti Kolopaking,https://scholar.google.com/citations?hl=en&user=TEyCjlsAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,311
171,M. Yunan Yusuf,https://scholar.google.com/citations?hl=en&user=hb7JdOAAAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,306
172,Jumal Ahmad,https://scholar.google.com/citations?hl=en&user=rv5jiJAAAAAJ,Sekolah Pascasarjana UIN Jakarta,Verified email at mhs.uinjkt.ac.id,303
173,Nurhasni,https://scholar.google.com/citations?hl=en&user=jjUQMmAAAAAJ,Magister Kimia Analitik,Verified email at uinjkt.ac.id,301
174,Mochamad Iqbal Nurmansyah,https://scholar.google.com/citations?hl=en&user=0-ukpAsAAAAJ,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,297
175,Rini Rini,https://scholar.google.com/citations?hl=en&user=LKc6sqQAAAAJ,"Accounting, State Islamic University Syarif Hidayatullah Jakarta",Verified email at uinjkt.ac.id,293
176,M. Zaki Mubarak,https://scholar.google.com/citations?hl=en&user=_GI8TD8AAAAJ,UIN Syarif Hidayatullah,Verified email at uinjkt.ac.id,292
177,Didin Saefuddin,https://scholar.google.com/citations?hl=en&user=rbZ-r18AAAAJ,UIN Syarif Hidayatullah Jakarta,Verified email at uinjkt.ac.id,289
178,Rista,https://scholar.google.com/citations?hl=en&user=vpqu5z0AAAAJ,Syarif Hidayatullah State Islamic University Jakarta,Verified email at mhs.uinjkt.ac.id,289
179,Ismiarni Komala,https://scholar.google.com/citations?hl=en&user=S0u3LTIAAAAJ,"Lecturer of Pharmacy Department, Medicine and Health Sciences Faculty, State Islamic …",Verified email at uinjkt.ac.id,288
180,Siti Rochaeni,https://scholar.google.com/citations?hl=en&user=yIbMJfUAAAAJ,faculty of science and technology state islamic universiti of syarif hidayatullah jakarta,Verified email at uinjkt.ac.id,287
181,Dedi Irwandi,https://scholar.google.com/citations?hl=en&user=CHfU4wMAAAAJ,Dosen ilmu kimia,Verified email at uinjkt.ac.id,286
182,Suwendi Suwendi,https://scholar.google.com/citations?hl=en&user=Ct6a6HUAAAAJ,Syarif Hidayatullah State Islamic University of Jakarta,Verified email at uinjkt.ac.id,283
183,Aziz Fahrurrozi,https://scholar.google.com/citations?hl=en&user=_sV3xo4AAAAJ,Syarif Hidayatullah State Islamic University of Jakarta,Verified email at uinjkt.ac.id,280
